filename,complete,dname_f,alg_f,k_or_tol_f,mtype_f,perm_mode_f,omp_threads_f,run_id,alg,mtype,k,tol,dname,dfile,perm_mode,tensor_shape,time_transform_matrix,time_data_to_pystarm,compression_ratio,time_compress_ttm_total,time_slicewise_svd,time_slicewise_svdvals,time_thresholds,time_slicewise_svdks,time_reconstruct_matmul,time_reconstruct_ttm_total,absolute_err,relative_err,norm_original,norm_reconstructed
cfd_tsvdmi_10_dct_01234_16_run1,False,cfd,tsvdmi,10,dct,01234,16,run1,,,,,,,,,,,,,,,,,,,,,,
cfd_tsvdmi_10_dct_01234_16_run2,False,cfd,tsvdmi,10,dct,01234,16,run2,,,,,,,,,,,,,,,,,,,,,,
cfd_tsvdmi_10_dct_01234_16_run3,False,cfd,tsvdmi,10,dct,01234,16,run3,,,,,,,,,,,,,,,,,,,,,,
cfd_tsvdmi_10_dct_01234_1_run1,False,cfd,tsvdmi,10,dct,01234,1,run1,,,,,,,,,,,,,,,,,,,,,,
cfd_tsvdmi_10_dct_01234_1_run2,False,cfd,tsvdmi,10,dct,01234,1,run2,,,,,,,,,,,,,,,,,,,,,,
cfd_tsvdmi_10_dct_01234_1_run3,False,cfd,tsvdmi,10,dct,01234,1,run3,,,,,,,,,,,,,,,,,,,,,,
cfd_tsvdmi_10_dct_01234_2_run1,False,cfd,tsvdmi,10,dct,01234,2,run1,,,,,,,,,,,,,,,,,,,,,,
cfd_tsvdmi_10_dct_01234_2_run2,False,cfd,tsvdmi,10,dct,01234,2,run2,,,,,,,,,,,,,,,,,,,,,,
cfd_tsvdmi_10_dct_01234_2_run3,False,cfd,tsvdmi,10,dct,01234,2,run3,,,,,,,,,,,,,,,,,,,,,,
cfd_tsvdmi_10_dct_01234_32_run1,True,cfd,tsvdmi,10,dct,01234,32,run1,tsvdmi,dct,10,None,cfd,/lus/flare/projects/DFTCalc2/starM-HPC/starMData/cfd,"(0, 1, 2, 3, 4)","(253, 253, 253, 4, 6)",0.001189264003187418,9.503215551376343e-06,12.625049309664695,0.278454780112952,0.9487360399216413,,,,0.036505989730358124,0.22546562319621444,791.9388172375634,0.1847490980122715,4286.563916999264,4212.773804071406
cfd_tsvdmi_10_dct_01234_32_run2,True,cfd,tsvdmi,10,dct,01234,32,run2,tsvdmi,dct,10,None,cfd,/lus/flare/projects/DFTCalc2/starM-HPC/starMData/cfd,"(0, 1, 2, 3, 4)","(253, 253, 253, 4, 6)",0.0020412239246070385,1.0588672012090683e-05,12.625049309664695,0.27906593307852745,0.9057528697885573,,,,0.036687495186924934,0.22422649478539824,791.9388172375634,0.1847490980122715,4286.563916999264,4212.773804071406
cfd_tsvdmi_10_dct_01234_32_run3,True,cfd,tsvdmi,10,dct,01234,32,run3,tsvdmi,dct,10,None,cfd,/lus/flare/projects/DFTCalc2/starM-HPC/starMData/cfd,"(0, 1, 2, 3, 4)","(253, 253, 253, 4, 6)",0.0016167350113391876,1.0096002370119095e-05,12.625049309664695,0.2757574184797704,0.9066487229429185,,,,0.05180536024272442,0.22624623216688633,791.9388172375634,0.1847490980122715,4286.563916999264,4212.773804071406
cfd_tsvdmi_10_dct_01234_4_run1,False,cfd,tsvdmi,10,dct,01234,4,run1,,,,,,,,,,,,,,,,,,,,,,
cfd_tsvdmi_10_dct_01234_4_run2,False,cfd,tsvdmi,10,dct,01234,4,run2,,,,,,,,,,,,,,,,,,,,,,
cfd_tsvdmi_10_dct_01234_4_run3,False,cfd,tsvdmi,10,dct,01234,4,run3,,,,,,,,,,,,,,,,,,,,,,
cfd_tsvdmi_10_dct_01234_64_run1,True,cfd,tsvdmi,10,dct,01234,64,run1,tsvdmi,dct,10,None,cfd,/lus/flare/projects/DFTCalc2/starM-HPC/starMData/cfd,"(0, 1, 2, 3, 4)","(253, 253, 253, 4, 6)",0.002019125036895275,1.0278075933456421e-05,12.625049309664695,0.2241752059198916,0.5774236260913312,,,,0.02251057093963027,0.16849312093108892,791.9388172375631,0.18474909801227546,4286.56391699917,4212.7738040714075
cfd_tsvdmi_10_dct_01234_64_run2,True,cfd,tsvdmi,10,dct,01234,64,run2,tsvdmi,dct,10,None,cfd,/lus/flare/projects/DFTCalc2/starM-HPC/starMData/cfd,"(0, 1, 2, 3, 4)","(253, 253, 253, 4, 6)",0.0012266100384294987,1.0613817721605301e-05,12.625049309664695,0.22113565262407064,0.5196193321608007,,,,0.09403146104887128,0.16809307038784027,791.9388172375631,0.18474909801227546,4286.56391699917,4212.7738040714075
cfd_tsvdmi_10_dct_01234_64_run3,True,cfd,tsvdmi,10,dct,01234,64,run3,tsvdmi,dct,10,None,cfd,/lus/flare/projects/DFTCalc2/starM-HPC/starMData/cfd,"(0, 1, 2, 3, 4)","(253, 253, 253, 4, 6)",0.0020576920360326767,1.0006129741668701e-05,12.625049309664695,0.22522234311327338,0.5369757795706391,,,,0.02227955823764205,0.16775826644152403,791.9388172375631,0.18474909801227546,4286.56391699917,4212.7738040714075
cfd_tsvdmi_10_dct_01234_8_run1,False,cfd,tsvdmi,10,dct,01234,8,run1,,,,,,,,,,,,,,,,,,,,,,
